,fname,pix_class
9674,image38250,7
9675,image40166,11
9676,image1151,13
9677,image63776,13
9678,image71317,11
9679,image11195,17
9680,image81086,17
9681,image57321,15
9682,image45740,2
9683,image55541,0
9684,image19220,7
9685,image24,15
9686,image3731,4
9687,image61116,1
9688,image42706,13
9689,image50367,16
9690,image28051,15
9691,image76351,7
9692,image64730,15
9693,image62304,13
9694,image70765,1
9695,image74449,9
9696,image56753,1
9697,image75143,13
9698,image5305,9
9699,image16932,16
9700,image45638,15
9701,image57259,17
9702,image30904,1
9703,image21796,3
9704,image53175,5
9705,image31597,5
9706,image58833,4
9707,image3649,12
9708,image51715,2
9709,image40987,5
9710,image29423,17
9711,image7565,17
9712,image65342,11
9713,image47058,16
9714,image37942,18
9715,image64648,0
9716,image54133,0
9717,image46552,16
9718,image18652,5
9719,image60564,13
9720,image8696,11
9721,image28129,13
9722,image47765,4
9723,image35186,15
9724,image51028,7
9725,image68875,0
9726,image43449,16
9727,image19465,17
9728,image3174,16
9729,image61753,6
9730,image73332,1
9731,image42143,17
9732,image39886,8
9733,image72638,13
9734,image60259,7
9735,image16796,13
9736,image6752,12
9737,image64175,13
9738,image74374,2
9739,image66715,13
9740,image38415,17
9741,image40723,13
9742,image52342,13
9743,image62439,5
9744,image49805,17
9745,image58697,1
9746,image53648,0
9747,image8832,13
9748,image63133,0
9749,image71552,12
9750,image5438,16
9751,image25387,14
9752,image43531,0
9753,image29266,5
9754,image32921,8
9755,image14917,7
9756,image54776,15
9757,image46317,16
9758,image78295,8
9759,image2506,1
9760,image60321,16
9761,image13951,4
9762,image68094,0
9763,image70120,0
9764,image44577,13
9765,image64994,1
9766,image75706,16
9767,image39067,4
9768,image41351,13
9769,image13839,1
9770,image49815,2
9771,image62429,17
9772,image70048,3
9773,image77997,1
9774,image66705,11
9775,image25397,10
9776,image5428,3
9777,image41239,13
9778,image53658,17
9779,image43459,1
9780,image68865,8
9781,image73322,0
9782,image19475,16
9783,image47775,16
9784,image55314,12
9785,image35196,1
9786,image6742,12
9787,image76504,3
9788,image28604,0
9789,image39896,12
9790,image42153,1
9791,image72628,4
9792,image21922,16
9793,image56106,1
9794,image36384,9
9795,image13941,12
9796,image3985,11
9797,image70130,13
9798,image41341,9
9799,image39077,11
9800,image64984,1
9801,image5550,11
9802,image67377,12
9803,image14907,4
9804,image65517,1
9805,image51140,2
9806,image32931,0
9807,image78285,0
9808,image72750,11
9809,image2516,16
9810,image60331,17
9811,image18007,7
9812,image46307,8
9813,image54766,2
9814,image6827,8
9815,image75092,0
9816,image57388,12
9817,image15210,13
9818,image59571,1
9819,image68700,4
9820,image79992,11
9821,image74598,2
9822,image56682,3
9823,image47810,1
9824,image80525,2
9825,image64799,10
9826,image1861,12
9827,image18783,4
9828,image12256,5
9829,image8747,2
9830,image49770,5
9831,image31446,2
9832,image40856,0
9833,image47189,0
9834,image59409,11
9835,image69372,4
9836,image11044,2
9837,image28819,17
9838,image25413,4
9839,image15368,13
9840,image81157,13
9841,image36578,2
9842,image24119,11
9843,image66081,12
9844,image47968,16
9845,image14662,17
9846,image32654,1
9847,image20235,1
9848,image68678,16
9849,image38381,13
9850,image1919,17
9851,image30034,12
9852,image22455,4
9853,image75873,16
9854,image16002,4
9855,image66918,3
9856,image13624,4
9857,image79173,5
9858,image18793,13
9859,image1871,1
9860,image78511,11
9861,image12246,5
9862,image34270,16
9863,image64789,0
9864,image66870,11
9865,image65283,11
9866,image17460,15
9867,image31456,0
9868,image3788,3
9869,image49760,12
9870,image59561,16
9871,image28971,8
9872,image6837,4
9873,image15200,17
9874,image36410,4
9875,image24071,15
9876,image80535,7
9877,image61836,8
9878,image10426,16
9879,image68710,1
9880,image79982,12
9881,image224,9
9882,image75863,16
9883,image16012,12
9884,image22445,0
9885,image48312,0
9886,image78469,1
9887,image49618,0
9888,image24890,4
9889,image27263,13
9890,image37062,15
9891,image81147,11
9892,image45681,16
9893,image54813,15
9894,image1090,17
9895,image28809,5
9896,image11054,4
9897,image58113,3
9898,image20225,2
9899,image68668,8
9900,image24109,2
9901,image47978,13
9902,image11769,12
9903,image41290,3
9904,image42863,13
9905,image59324,15
9906,image21012,16
9907,image33473,12
9908,image15445,16
9909,image64855,5
9910,image5481,13
9911,image80370,0
9912,image51908,0
9913,image68155,7
9914,image3854,2
9915,image62480,0
9916,image20518,16
9917,image78354,12
9918,image8112,13
9919,image12403,2
9920,image63813,1
9921,image72681,2
9922,image45825,2
9923,image26054,11
9924,image17225,14
9925,image51091,0
9926,image9418,16
9927,image13109,14
9928,image23672,0
9929,image31213,11
9930,image70978,17
9931,image49125,5
9932,image25246,11
9933,image11611,12
9934,image71493,9
9935,image51870,5
9936,image16657,16
9937,image6693,17
9938,image39947,12
9939,image30661,11
9940,image48557,13
9941,image79726,9
9942,image32998,3
9943,image70800,4
9944,image35047,12
9945,image27426,13
9946,image7399,4
9947,image509,17
9948,image34425,3
9949,image12413,1
9950,image8102,5
9951,image78344,8
9952,image72691,16
9953,image22368,8
9954,image30709,1
9955,image13119,0
9956,image51081,2
9957,image49135,15
9958,image31203,0
9959,image23662,13
9960,image15455,16
9961,image41280,4
9962,image42873,2
9963,image11779,1
9964,image10273,2
9965,image20508,11
9966,image3844,0
9967,image62490,6
9968,image39957,1
9969,image42092,7
9970,image60388,16
9971,image48547,9
9972,image30671,2
9973,image22210,12
9974,image16647,0
9975,image6683,13
9976,image471,13
9977,image7389,12
9978,image27436,5
9979,image13061,15
9980,image9570,5
9981,image43598,0
9982,image70810,17
9983,image61682,13
9984,image32988,11
9985,image69537,12
9986,image11601,1
9987,image71483,0
9988,image25256,13
9989,image37637,9
9990,image14027,2
9991,image52293,8
9992,image32011,1
9993,image7187,17
9994,image74932,1
9995,image49243,7
9996,image52904,16
9997,image43796,4
9998,image60186,3
9999,image48749,3
10000,image78032,15
10001,image12765,11
10002,image34753,8
10003,image26332,1
10004,image36133,12
10005,image24552,8
10006,image80016,5
10007,image14229,9
10008,image55942,7
10009,image70387,11
10010,image73974,0
10011,image58548,12
10012,image29958,3
10013,image10105,1
10014,image68233,5
10015,image59042,1
10016,image33715,4
10017,image53597,16
10018,image25058,3
10019,image37439,7
10020,image9606,7
10021,image13317,2
10022,image27740,16
10023,image707,8
10024,image16531,8
10025,image30507,12
10026,image41917,4
10027,image20706,11
10028,image31994,15
10029,image29820,12
10030,image7966,17
10031,image14351,0
10032,image37541,3
10033,image25120,13
10034,image60967,16
10035,image11577,16
10036,image58558,11
10037,image73964,17
10038,image68223,11
10039,image29948,4
10040,image24542,0
10041,image14239,1
10042,image37429,5
10043,image25048,12
10044,image15733,11
10045,image22997,0
10046,image53587,15
10047,image79528,11
10048,image7197,16
10049,image35249,4
10050,image27628,7
10051,image16459,15
10052,image60196,1
10053,image48759,11
10054,image12775,8
10055,image8264,1
10056,image78022,8
10057,image4385,16
10058,image7976,5
10059,image14341,12
10060,image20716,2
10061,image31984,8
10062,image58420,15
10063,image29830,9
10064,image63384,1
10065,image11567,4
10066,image46941,0
10067,image35331,13
10068,image73185,4
10069,image13307,4
10070,image9616,16
10071,image30517,11
10072,image22176,15
10073,image41907,13
10074,image38806,1
10075,image29694,13
10076,image49416,8
10077,image23341,1
10078,image77594,16
10079,image54384,0
10080,image26567,2
10081,image34106,1
10082,image12130,8
10083,image8421,2
10084,image71941,11
10085,image24307,5
10086,image36766,7
10087,image81349,15
10088,image67795,17
10089,image76907,1
10090,image50931,3
10091,image39495,3
10092,image21521,3
10093,image48885,2
10094,image47397,2
10095,image27115,17
10096,image9053,14
10097,image62952,16
10098,image19097,9
10099,image23239,0
10100,image12048,17
10101,image16364,4
10102,image64587,16
10103,image5953,12
10104,image74786,16
10105,image58265,12
10106,image69014,1
10107,image11322,17
10108,image21459,0
10109,image57196,12
10110,image37314,4
10111,image36776,4
10112,image24317,1
10113,image68476,4
10114,image50921,13
10115,image59607,0
10116,image48895,17
10117,image21531,16
10118,image15166,0
10119,image76917,15
10120,image17706,13
10121,image31730,2
10122,image49406,6
10123,image57967,8
10124,image54394,5
10125,image34116,4
10126,image32522,4
10127,image14514,11
10128,image74796,12
10129,image65904,2
10130,image81221,8
10131,image57186,0
10132,image37304,12
10133,image25765,13
10134,image11332,17
10135,image50859,16
10136,image2905,4
10137,image33028,4
10138,image21449,13
10139,image9043,2
10140,image13552,3
10141,image19087,1
10142,image23229,12
10143,image3596,8
10144,image62942,15
10145,image44974,16
10146,image47387,2
10147,image15987,3
10148,image16374,4
10149,image142,7
10150,image8549,3
10151,image12058,12
10152,image43838,17
10153,image20049,17
10154,image19814,4
10155,image80621,0
10156,image24365,4
10157,image36704,2
10158,image27996,5
10159,image76965,2
10160,image59675,5
10161,image33122,12
10162,image21543,12
10163,image9149,4
10164,image13458,16
10165,image31742,10
10166,image62848,7
10167,image17774,16
10168,image26505,3
10169,image34164,1
10170,image69897,4
10171,image8443,12
10172,image78605,3
10173,image18487,13
10174,image30248,2
10175,image71923,8
10176,image80759,16
10177,image66385,3
10178,image65976,13
10179,image38085,17
10180,image58207,3
10181,image32550,16
10182,image1384,4
10183,image45595,0
10184,image44906,3
10185,image55794,17
10186,image27177,3
10187,image35516,16
10188,image9031,11
10189,image79277,12
10190,image13520,2
10191,image22751,4
10192,image48006,16
10193,image16306,0
10194,image76184,16
10195,image17764,7
10196,image65187,17
10197,image38874,15
10198,image13448,11
10199,image9159,3
10200,image49464,0
10201,image31752,16
10202,image69887,5
10203,image2186,10
10204,image71933,1
10205,image30258,1
10206,image57905,5
10207,image46797,0
10208,image5859,12
10209,image24375,1
10210,image43828,0
10211,image10722,7
10212,image19804,17
10213,image11228,16
10214,image33132,6
10215,image15104,16
10216,image13530,2
10217,image79267,16
10218,image9021,5
10219,image62920,0
10220,image44916,3
10221,image55784,3
10222,image35506,5
10223,image27167,16
10224,image16316,16
10225,image76194,11
10226,image120,2
10227,image48016,13
10228,image22741,1
10229,image30320,5
10230,image32540,0
10231,image58217,5
10232,image80749,1
10233,image65966,2
10234,image45585,13
10235,image81243,13
10236,image34995,0
10237,image55920,16
10238,image80074,5
10239,image62784,2
10240,image73916,0
10241,image21316,8
10242,image59020,5
10243,image41194,1
10244,image5785,12
10245,image15741,16
10246,image49221,4
10247,image31117,12
10248,image52966,12
10249,image51395,0
10250,image78050,11
10251,image8216,8
10252,image34731,9
10253,image26350,4
10254,image32305,5
10255,image58452,11
10256,image52187,12
10257,image29842,17
10258,image36029,3
10259,image7904,11
10260,image15639,16
10261,image60905,5
10262,image59158,9
10263,image69623,8
10264,image11515,16
10265,image61596,8
10266,image10986,2
10267,image9664,13
10268,image74828,1
10269,image27722,1
10270,image17059,5
10271,image80895,12
10272,image6597,8
10273,image16553,11
10274,image48653,12
10275,image31107,7
10276,image23566,2
10277,image52976,8
10278,image51385,11
10279,image74940,1
10280,image17131,5
10281,image26340,11
10282,image72595,13
10283,image62794,11
10284,image73906,6
10285,image10177,16
10286,image36141,16
10287,image80064,17
10288,image55930,13
10289,image59030,9
10290,image21306,16
10291,image27732,2
10292,image35353,1
10293,image74838,17
10294,image80885,7
10295,image61586,13
10296,image49349,3
10297,image13365,4
10298,image78138,3
10299,image26238,15
10300,image67953,15
10301,image16543,1
10302,image55848,4
10303,image58442,8
10304,image32315,4
10305,image20774,13
10306,image68339,13
10307,image59148,7
10308,image69633,4
10309,image37533,0
10310,image15629,16
10311,image81416,16
10312,image78336,8
10313,image8170,1
10314,image42198,3
10315,image60282,8
10316,image45847,10
10317,image6789,0
10318,image34457,16
10319,image43492,3
10320,image49147,1
10321,image32882,13
10322,image23610,5
10323,image31271,5
10324,image53693,1
10325,image21070,8
10326,image33411,3
10327,image71589,15
10328,image80312,11
10329,image24656,5
10330,image52399,11
10331,image70083,6
10332,image12519,1
10333,image50481,17
10334,image8008,12
10335,image63909,7
10336,image48535,3
10337,image21891,8
10338,image13013,5
10339,image79744,11
10340,image70862,3
10341,image73291,13
10342,image4908,16
10343,image69545,3
10344,image11673,17
10345,image18955,15
10346,image33569,17
10347,image51812,17
10348,image10379,16
10349,image20402,11
10350,image14055,4
10351,image4091,5
10352,image15437,0
10353,image64827,17
10354,image53683,5
10355,image42811,8
10356,image71599,13
10357,image21060,0
10358,image10211,13
10359,image68127,8
10360,image70093,5
10361,image80302,12
10362,image6799,12
10363,image8160,8
10364,image78326,0
10365,image42188,8
10366,image60292,2
10367,image31261,3
10368,image61798,13
10369,image4860,13
10370,image11663,9
10371,image63080,16
10372,image33579,1
10373,image25234,11
10374,image37655,16
10375,image14045,14
10376,image4081,4
10377,image10369,17
10378,image51802,13
10379,image32073,5
10380,image50491,1
10381,image8018,4
10382,image12509,2
10383,image21881,0
10384,image30613,1
10385,image48525,0
10386,image413,4
10387,image56844,15
10388,image27454,12
10389,image35035,2
10390,image4918,11
10391,image9512,17
10392,image23778,16
10393,image31319,12
10394,image73281,8
10395,image1803,4
10396,image48218,17
10397,image8725,4
10398,image58980,15
10399,image79069,3
10400,image40834,1
10401,image29590,2
10402,image77690,5
10403,image17412,3
10404,image6845,16
10405,image37168,0
10406,image16881,13
10407,image28903,1
10408,image69268,4
10409,image61844,12
10410,image24003,17
10411,image36462,13
10412,image14778,1
10413,image44281,0
10414,image30056,7
10415,image2388,9
10416,image75811,17
10417,image64683,3
10418,image27211,1
10419,image35670,17
10420,image65389,16
10421,image47093,16
10422,image19393,0
10423,image9357,17
10424,image79111,17
10425,image75188,7
10426,image37010,16
10427,image56798,7
10428,image20257,5
10429,image79888,12
10430,image21635,5
10431,image69278,11
10432,image28913,13
10433,image37178,0
10434,image6855,4
10435,image54909,7
10436,image15262,10
10437,image36472,8
10438,image24013,0
10439,image47862,11
10440,image14768,14
10441,image61854,4
10442,image58009,16
10443,image48208,13
10444,image12224,3
10445,image34212,11
10446,image77680,0
10447,image27379,3
10448,image17402,17
10449,image49702,11
10450,image23055,16
10451,image31434,13
10452,image79079,16
10453,image75198,16
10454,image57282,5
10455,image81125,0
10456,image72847,16
10457,image69300,11
10458,image11036,15
10459,image74492,1
10460,image14610,16
10461,image37999,9
10462,image16070,2
10463,image2398,2
10464,image18689,0
10465,image3692,4
10466,image19383,5
10467,image13656,8
10468,image79101,12
10469,image65399,12
10470,image35660,12
10471,image47083,17
10472,image14194,2
10473,image74316,13
10474,image4150,0
10475,image52320,2
10476,image8850,16
10477,image63151,3
10478,image26916,2
10479,image27585,17
10480,image79685,14
10481,image68817,13
10482,image61731,16
10483,image73350,0
10484,image19407,8
10485,image28676,1
10486,image42121,1
10487,image21950,1
10488,image52258,0
10489,image40639,16
10490,image13933,9
10491,image70142,4
10492,image56174,17
10493,image44515,3
10494,image24797,13
10495,image4028,12
10496,image8928,2
10497,image41333,0
10498,image71448,15
10499,image63029,14
10500,image43553,4
10501,image51132,0
10502,image61649,16
10503,image49086,4
10504,image17386,9
10505,image14975,9
10506,image65565,11
10507,image54714,17
10508,image46375,3
10509,image6648,8
10510,image42059,9
10511,image2564,16
10512,image60343,12
10513,image72722,17
10514,image79695,13
10515,image19417,2
10516,image73340,16
10517,image3106,1
10518,image55376,4
10519,image64107,16
10520,image50550,4
10521,image42131,2
10522,image28666,0
10523,image21940,0
10524,image52330,2
10525,image49877,9
10526,image4140,2
10527,image66767,16
10528,image74306,11
10529,image37794,1
10530,image8840,5
10531,image63141,3
10532,image18884,1
10533,image17396,2
10534,image14965,8
10535,image65575,5
10536,image51122,13
10537,image73238,3
10538,image21838,4
10539,image72732,4
10540,image2574,5
10541,image60353,1
10542,image54704,1
10543,image56164,13
10544,image4038,4
10545,image24787,15
10546,image13923,4
10547,image40629,4
10548,image70152,1
10549,image62533,4
10550,image39015,12
10551,image8938,2
10552,image41323,17
10553,image63039,12
10554,image71458,17
10555,image5532,2
10556,image67315,14
10557,image23965,2
10558,image38222,3
10559,image79949,1
10560,image52575,12
10561,image4705,11
10562,image56659,13
10563,image75049,0
10564,image67428,13
10565,image16838,8
10566,image57353,1
10567,image72996,3
10568,image1123,11
10569,image39728,7
10570,image19252,12
10571,image3743,1
10572,image56,0
10573,image61164,0
10574,image9296,3
10575,image29529,8
10576,image77629,15
10577,image65248,14
10578,image47152,5
10579,image55533,7
10580,image6165,4
10581,image76323,4
10582,image54039,8
10583,image46458,0
10584,image18758,9
10585,image30197,8
10586,image2249,8
10587,image50315,17
10588,image28023,13
10589,image80486,15
10590,image56721,4
10591,image70717,16
10592,image62376,1
10593,image10595,12
10594,image79831,17
10595,image30976,3
10596,image39650,1
10597,image6984,4
10598,image67550,2
10599,image75131,4
10600,image65330,4
10601,image77751,8
10602,image23184,9
10603,image51767,0
10604,image29451,4
10605,image18620,16
10606,image2331,13
10607,image11906,16
10608,image37930,3
10609,image54141,9
10610,image65258,8
10611,image77639,15
10612,image24933,1
10613,image47142,15
10614,image46,9
10615,image61174,16
10616,image58929,9
10617,image19242,2
10618,image9286,0
10619,image2259,12
10620,image50305,17
10621,image76333,2
10622,image387,4
10623,image37858,2
10624,image46448,2
10625,image54029,13
10626,image74553,12
10627,image66132,7
10628,image20386,8
10629,image40104,5
10630,image52565,0
10631,image79959,2
10632,image72986,7
10633,image71375,11
10634,image57343,8
10635,image45722,1
10636,image23194,13
10637,image65320,13
10638,image18630,2
10639,image11916,17
10640,image70707,0
10641,image79821,5
10642,image56731,8
10643,image44350,0
10644,image67540,2
10645,image16950,1
10646,image30966,3
10647,image41576,2
10648,image39640,15
10649,image15834,17
10650,image6203,16
10651,image76045,13
10652,image50073,12
10653,image28345,8
10654,image22690,4
10655,image60708,0
10656,image19134,15
10657,image3425,4
10658,image61202,9
10659,image7709,13
10660,image57035,9
10661,image5169,5
10662,image968,0
10663,image34844,4
10664,image12872,12
10665,image11281,9
10666,image41778,16
10667,image71003,10
10668,image63462,1
10669,image38144,2
10670,image43881,2
10671,image9869,4
10672,image62168,8
10673,image70509,9
10674,image80698,12
10675,image74625,3
10676,image12093,13
10677,image30389,2
10678,image2057,16
10679,image54227,16
10680,image189,17
10681,image5988,5
10682,image7671,1
10683,image65056,4
10684,image77437,5
10685,image51401,12
10686,image43060,0
10687,image13599,4
10688,image20811,4
10689,image62989,2
10690,image50892,17
10691,image48926,16
10692,image5011,13
10693,image67636,4
10694,image810,4
10695,image62010,1
10696,image20188,5
10697,image41768,13
10698,image11291,11
10699,image1255,0
10700,image63472,11
10701,image5179,5
10702,image80688,2
10703,image43891,13
10704,image9879,9
10705,image62178,0
10706,image50063,2
10707,image72379,13
10708,image60718,5
10709,image22680,12
10710,image33812,1
10711,image76055,16
10712,image6213,8
10713,image51569,12
10714,image43108,0
10715,image19124,16
10716,image41610,16
10717,image53271,16
10718,image39526,17
10719,image21492,0
10720,image48936,1
10721,image20198,2
10722,image70461,13
10723,image56457,13
10724,image54237,3
10725,image5998,2
10726,image12083,16
10727,image8592,17
10728,image60660,0
10729,image72201,16
10730,image18556,13
10731,image30399,17
10732,image13589,0
10733,image9098,17
10734,image51411,15
10735,image62999,5
10736,image31693,13
10737,image20801,11
10738,image7661,0
10739,image48792,3
10740,image59900,11
10741,image50626,12
10742,image76610,14
10743,image6456,16
10744,image64271,0
10745,image34788,17
10746,image16492,1
10747,image35282,12
10748,image36871,7
10749,image73036,7
10750,image63237,1
10751,image78970,5
10752,image25083,13
10753,image57660,1
10754,image4236,15
10755,image66411,17
10756,image55999,0
10757,image40427,13
10758,image52046,16
10759,image38711,1
10760,image64309,0
10761,image25862,4
10762,image46013,16
10763,image2602,17
10764,image28468,14
10765,image3308,11
10766,image19619,1
10767,image29162,2
10768,image77262,8
10769,image65603,11
10770,image74891,1
10771,image36909,9
10772,image5644,1
10773,image67063,4
10774,image45379,2
10775,image15680,1
10776,image22824,15
10777,image1568,4
10778,image41055,12
10779,image39363,7
10780,image62645,17
10781,image38669,11
10782,image66569,16
10783,image56212,0
10784,image44673,17
10785,image17979,13
10786,image25093,1
10787,image45211,5
10788,image57670,1
10789,image1400,1
10790,image63227,12
10791,image59089,10
10792,image78960,16
10793,image29993,8
10794,image52056,2
10795,image66401,0
10796,image24599,12
10797,image17811,0
10798,image64261,5
10799,image67892,15
10800,image59910,9
10801,image42257,4
10802,image19771,11
10803,image73026,0
10804,image36861,12
10805,image55010,14
10806,image17188,17
10807,image39373,12
10808,image53424,10
10809,image78818,0
10810,image5654,4
10811,image67073,12
10812,image15690,4
10813,image57708,0
10814,image45369,2
10815,image66579,13
10816,image17969,3
10817,image70234,2
10818,image62655,2
10819,image38679,0
10820,image68380,13
10821,image18303,17
10822,image60035,0
10823,image78181,13
10824,image28478,17
10825,image26281,9
10826,image46003,19
10827,image7034,13
10828,image65613,11
10829,image77272,1
10830,image55168,1
10831,image3318,3
10832,image23646,16
10833,image55389,4
10834,image54683,5
10835,image12437,2
10836,image78360,12
10837,image38498,11
10838,image44482,0
10839,image24600,16
10840,image45188,2
10841,image67292,0
10842,image64861,0
10843,image42857,4
10844,image21026,5
10845,image59310,1
10846,image1799,17
10847,image56802,13
10848,image47690,16
10849,image35073,12
10850,image79712,2
10851,image70834,8
10852,image39973,13
10853,image30655,0
10854,image64080,1
10855,image455,2
10856,image74281,7
10857,image68019,17
10858,image58762,8
10859,image69513,16
10860,image18903,5
10861,image37613,17
10862,image26881,16
10863,image64919,3
10864,image44492,13
10865,image36271,15
10866,image24610,5
10867,image38488,2
10868,image10247,1
10869,image68171,12
10870,image49898,2
10871,image3870,4
10872,image39182,12
10873,image59300,12
10874,image1789,3
10875,image21036,12
10876,image15461,2
10877,image67282,3
10878,image64871,17
10879,image55399,1
10880,image17201,8
10881,image77083,13
10882,image23656,4
10883,image31237,5
10884,image49101,4
10885,image78370,17
10886,image8136,0
10887,image28689,13
10888,image54693,3
10889,image34411,1
10890,image76589,1
10891,image68009,4
10892,image3908,4
10893,image32025,2
10894,image14013,1
10895,image77862,16
10896,image24768,11
10897,image36309,8
10898,image15519,5
10899,image57481,15
10900,image64909,2
10901,image37603,2
10902,image26891,5
10903,image59278,4
10904,image18913,4
10905,image68990,12
10906,image79702,4
10907,image49079,7
10908,image56812,0
10909,image47680,16
10910,image17379,8
10911,image35063,4
10912,image27402,13
10913,image16673,2
10914,image445,13
10915,image22224,16
10916,image48573,1
10917,image66854,8
10918,image23013,11
10919,image40862,7
10920,image43291,8
10921,image30178,13
10922,image1855,13
10923,image11891,15
10924,image26635,9
10925,image24055,8
10926,image61812,3
10927,image32718,17
10928,image33212,15
10929,image11108,11
10930,image53090,5
10931,image15224,17
10932,image73492,4
10933,image51788,1
10934,image79147,17
10935,image9301,11
10936,image27247,4
10937,image200,12
10938,image75847,1
10939,image16036,13
10940,image22461,7
10941,image30000,9
10942,image53871,4
10943,image32660,5
10944,image40083,4
10945,image4692,3
10946,image14656,11
10947,image80469,3
10948,image37046,1
10949,image81163,16
10950,image54837,12
10951,image63693,4
10952,image72801,4
10953,image11070,12
10954,image69346,6
10955,image70690,16
10956,image61802,7
10957,image47834,16
10958,image6803,1
10959,image59555,16
10960,image53080,0
10961,image28945,3
10962,image11118,5
10963,image13778,0
10964,image43281,7
10965,image7490,1
10966,image1845,2
10967,image22509,1
10968,image30168,15
10969,image8763,9
10970,image53919,17
10971,image4682,9
10972,image32670,17
10973,image20211,7
10974,image58127,4
10975,image63683,7
10976,image69356,1
10977,image11060,17
10978,image54827,16
10979,image35636,11
10980,image73482,12
10981,image48326,4
10982,image30010,1
10983,image50292,4
10984,image75857,1
10985,image210,0
10986,image69158,4
10987,image50905,5
10988,image59623,12
10989,image76933,9
10990,image5186,17
10991,image25639,14
10992,image37258,1
10993,image80677,17
10994,image14448,12
10995,image65858,16
10996,image36752,16
10997,image24333,11
10998,image10764,17
10999,image68452,4
11000,image58329,4
11001,image62187,4
11002,image12104,10
11003,image71975,11
11004,image57943,14
11005,image16228,13
11006,image26553,5
11007,image27059,8
11008,image51596,4
11009,image23375,4
11010,image31714,4
11011,image2921,4
11012,image71194,5
11013,image58251,5
11014,image20167,12
11015,image32506,1
11016,image14530,2
11017,image65920,11
11018,image166,8
11019,image5967,11
11020,image42585,2
11021,image33995,2
11022,image30366,17
11023,image79221,1
11024,image9067,17
11025,image13576,1
11026,image44950,4
11027,image35540,13
11028,image27121,0
11029,image16238,13
11030,image78643,13
11031,image71965,16
11032,image48138,12
11033,image72396,8
11034,image38822,13
11035,image51586,13
11036,image20996,5
11037,image17732,1
11038,image44838,5
11039,image27049,5
11040,image15152,3
11041,image37248,7
11042,image5196,12
11043,image33164,0
11044,image2849,4
11045,image59633,13
11046,image58339,5
11047,image14458,10
11048,image80667,4
11049,image24323,4
11050,image65848,8
11051,image42595,11
11052,image48040,13
11053,image33985,4
11054,image22717,0
11055,image176,9
11056,image44940,0
11057,image27131,2
11058,image35550,11
11059,image79231,11
11060,image69030,15
11061,image11306,7
11062,image71184,12
11063,image25751,1
11064,image37330,12
11065,image65930,12
11066,image52794,5
11067,image43906,7
11068,image20177,12
11069,image58241,16
11070,image73940,13
11071,image68207,16
11072,image36107,1
11073,image56385,13
11074,image55976,4
11075,image26306,5
11076,image2795,13
11077,image12751,17
11078,image31141,8
11079,image52930,13
11080,image74906,11
11081,image60953,0
11082,image37575,11
11083,image45396,2
11084,image66586,4
11085,image20732,3
11086,image38686,9
11087,image29814,4
11088,image10049,1
11089,image59897,8
11090,image48605,5
11091,image30533,8
11092,image22152,2
11093,image28487,5
11094,image12629,15
11095,image41923,1
11096,image8338,1
11097,image16505,11
11098,image55197,4
11099,image23458,11
11100,image9632,2
11101,image52848,15
11102,image78016,11
11103,image34777,2
11104,image46194,17
11105,image17167,13
11106,image31151,7
11107,image49267,3
11108,image21350,17
11109,image33731,17
11110,image24576,0
11111,image80032,17
11112,image56395,12
11113,image73950,16
11114,image67905,5
11115,image76797,16
11116,image22142,8
11117,image59887,9
11118,image41933,15
11119,image8328,2
11120,image28497,2
11121,image12639,17
11122,image31029,0
11123,image23448,13
11124,image52858,12
11125,image9622,16
11126,image13333,12
11127,image35305,0
11128,image27764,13
11129,image55187,17
11130,image37565,4
11131,image25104,4
11132,image45386,1
11133,image33649,2
11134,image21228,2
11135,image58414,3
11136,image32343,16
11137,image38696,1
11138,image10059,1
11139,image29804,11
11140,image7942,7
11141,image66596,9
11142,image14375,0
11143,image17986,16
11144,image55603,12
11145,image44891,0
11146,image65178,12
11147,image77519,3
11148,image19162,7
11149,image61254,15
11150,image3473,0
11151,image73635,4
11152,image42444,9
11153,image50025,1
11154,image28313,0
11155,image18468,17
11156,image2179,13
11157,image46768,2
11158,image54309,15
11159,image16291,13
11160,image64472,16
11161,image44108,8
11162,image66212,0
11163,image4435,8
11164,image27979,16
11165,image38112,8
11166,image40224,15
11167,image58390,2
11168,image48808,4
11169,image1213,17
11170,image45402,1
11171,image34812,4
11172,image43036,3
11173,image79298,7
11174,image29761,0
11175,image20847,16
11176,image77461,13
11177,image65000,12
11178,image7627,2
11179,image46610,1
11180,image78792,7
11181,image69900,3
11182,image18510,8
11183,image60626,2
11184,image2001,11
11185,image72247,3
11186,image70427,13
11187,image19983,13
11188,image75201,12
11189,image5047,13
11190,image39560,16
11191,image2998,5
11192,image40234,17
11193,image44118,0
11194,image45412,0
11195,image57073,4
11196,image71045,12
11197,image48818,1
11198,image63424,13
11199,image29609,7
11200,image73625,12
11201,image61244,8
11202,image3463,16
11203,image19172,3
11204,image77509,1
11205,image16281,2
11206,image54319,13
11207,image46778,0
11208,image6245,13
11209,image28303,0
11210,image50035,15
11211,image2169,11
11212,image48181,0
11213,image44060,11
11214,image14599,1
11215,image27811,13
11216,image36683,10
11217,image68583,16
11218,image9957,2
11219,image53227,1
11220,image2988,16
11221,image7637,4
11222,image29771,16
11223,image51447,5
11224,image43026,0
11225,image78782,12
11226,image69910,4
11227,image72257,1
11228,image18500,7
11229,image57892,13
